,name,max_vehicles,capacity,customers,feasibility_ratio,avg_cost,opt_cost
0,C101,25,200,100,0.0,4353.1259765625,827.3
1,C102,25,200,100,0.0068359375,4332.6181640625,827.3
2,C103,25,200,100,0.2666015625,4365.19384765625,826.3
3,C104,25,200,100,0.9990234375,4266.9677734375,822.9
4,C105,25,200,100,0.0,4384.8515625,827.3
5,C106,25,200,100,0.0087890625,4352.1591796875,827.3
6,C107,25,200,100,0.03125,4397.6474609375,827.3
7,C108,25,200,100,0.1787109375,4344.92333984375,827.3
8,C109,25,200,100,0.9111328125,4271.1767578125,827.3
9,C201,25,700,100,0.13671875,4481.22509765625,589.1
10,C202,25,700,100,0.4599609375,4412.7119140625,589.1
11,C203,25,700,100,0.9853515625,4372.67578125,588.7
12,C204,25,700,100,1.0,4295.61669921875,588.1
13,C205,25,700,100,0.6357421875,4287.611328125,586.4
14,C206,25,700,100,0.9765625,4232.54150390625,586.0
15,C207,25,700,100,0.984375,4253.966796875,585.8
16,C208,25,700,100,1.0,4204.66259765625,585.8
17,R101,25,200,100,0.0,3969.26953125,1637.7
18,R102,25,200,100,0.0,3859.01123046875,1466.6
19,R103,25,200,100,0.013671875,3722.28759765625,1208.7
20,R104,25,200,100,0.3779296875,3537.6396484375,971.5
21,R105,25,200,100,0.0,3595.791748046875,1355.3
22,R106,25,200,100,0.00390625,3553.9501953125,1234.6
23,R107,25,200,100,0.244140625,3525.9970703125,1064.6
24,R108,25,200,100,0.4638671875,3493.25439453125,932.1
25,R109,25,200,100,0.01953125,3448.6416015625,1146.9
26,R110,25,200,100,0.142578125,3450.55908203125,1068.0
27,R111,25,200,100,0.3525390625,3470.2587890625,1048.7
28,R112,25,200,100,0.5390625,3435.865234375,948.6
29,R201,25,1000,100,0.7236328125,3712.049072265625,1143.2
30,R202,25,1000,100,0.953125,3673.597900390625,1029.6
31,R203,25,1000,100,1.0,3620.27685546875,870.8
32,R204,25,1000,100,1.0,3548.13232421875,731.3
33,R205,25,1000,100,1.0,3593.491455078125,949.8
34,R206,25,1000,100,1.0,3571.16943359375,875.9
35,R207,25,1000,100,1.0,3578.408203125,794.0
36,R208,25,1000,100,1.0,3525.967041015625,701.0
37,R209,25,1000,100,1.0,3565.287109375,854.8
38,R210,25,1000,100,1.0,3607.700927734375,900.5
39,R211,25,1000,100,1.0,3524.15966796875,746.7
40,RC101,25,200,100,0.0,4752.66650390625,1619.8
41,RC102,25,200,100,0.0,4680.63623046875,1457.4
42,RC103,25,200,100,0.001953125,4595.1494140625,1258.0
43,RC104,25,200,100,0.1826171875,4457.3388671875,1132.3
44,RC105,25,200,100,0.0,4683.49658203125,1513.7
45,RC106,25,200,100,0.0009765625,4447.04248046875,1372.7
46,RC107,25,200,100,0.0322265625,4347.953125,1207.8
47,RC108,25,200,100,0.1845703125,4357.0146484375,1114.2
48,RC201,25,1000,100,0.6083984375,4862.677734375,1261.8
49,RC202,25,1000,100,0.9189453125,4782.580078125,1092.3
50,RC203,25,1000,100,0.998046875,4683.853515625,923.7
51,RC204,25,1000,100,1.0,4629.2802734375,783.5
52,RC205,25,1000,100,0.9228515625,4790.224609375,1154.0
53,RC206,25,1000,100,1.0,4731.7763671875,1051.1
54,RC207,25,1000,100,1.0,4676.73828125,962.9
55,RC208,25,1000,100,1.0,4636.2998046875,776.1
56,C1_2_1,50,200,200,0.0,16413.3203125,2698.6
57,C1_2_2,50,200,200,0.0,16322.234375,2694.3
58,C1_2_3,50,200,200,0.1103515625,16306.5595703125,2675.8
59,C1_2_4,50,200,200,1.0,15949.275390625,2625.6
60,C1_2_5,50,200,200,0.0,16056.01171875,2694.9
61,C1_2_6,50,200,200,0.0,16181.609375,2694.9
62,C1_2_7,50,200,200,0.0009765625,16063.6708984375,2694.9
63,C1_2_8,50,200,200,0.0302734375,15788.9345703125,2684.0
64,C1_2_9,50,200,200,0.8642578125,15700.84375,2639.6
65,C1_2_10,50,200,200,1.0,15551.4765625,2624.7
66,C2_2_1,50,700,200,0.1650390625,14633.314453125,1922.1
67,C2_2_2,50,700,200,0.8115234375,14584.9375,1851.4
68,C2_2_3,50,700,200,1.0,14310.4072265625,1763.4
69,C2_2_4,50,700,200,1.0,14021.5302734375,1695.0
70,C2_2_5,50,700,200,0.9853515625,14196.724609375,1869.6
71,C2_2_6,50,700,200,1.0,14038.1611328125,1844.8
72,C2_2_7,50,700,200,1.0,14004.81640625,1842.2
73,C2_2_8,50,700,200,1.0,13915.73828125,1813.7
74,C2_2_9,50,700,200,1.0,13943.119140625,1815.0
75,C2_2_10,50,700,200,1.0,13823.48046875,1791.2
76,R1_2_1,50,200,200,0.0,19286.310546875,4667.2
77,R1_2_2,50,200,200,0.0,17573.91015625,3919.9
78,R1_2_3,50,200,200,0.0078125,15768.8564453125,3373.9
79,R1_2_4,50,200,200,0.998046875,14545.201171875,3047.6
80,R1_2_5,50,200,200,0.0,16639.7421875,4053.2
81,R1_2_6,50,200,200,0.0,15925.68359375,3559.1
82,R1_2_7,50,200,200,0.1103515625,14906.388671875,3141.9
83,R1_2_8,50,200,200,1.0,14455.2255859375,2938.4
84,R1_2_9,50,200,200,0.0,14944.986328125,3734.7
85,R1_2_10,50,200,200,0.3427734375,13963.46484375,3293.1
86,R2_2_1,50,1000,200,0.72265625,15112.19921875,3468.0
87,R2_2_2,50,1000,200,0.998046875,15109.44140625,3008.2
88,R2_2_3,50,1000,200,1.0,15045.6357421875,2537.5
89,R2_2_4,50,1000,200,1.0,14830.193359375,1928.5
90,R2_2_5,50,1000,200,1.0,14674.3701171875,3061.1
91,R2_2_6,50,1000,200,1.0,14793.07421875,2675.4
92,R2_2_7,50,1000,200,1.0,14845.955078125,2304.7
93,R2_2_8,50,1000,200,1.0,14765.091796875,1842.4
94,R2_2_9,50,1000,200,1.0,14624.99609375,2843.3
95,R2_2_10,50,1000,200,1.0,14485.279296875,2549.4
96,RC1_2_1,50,200,200,0.0,16061.865234375,3516.9
97,RC1_2_2,50,200,200,0.0,15196.60546875,3221.6
98,RC1_2_3,50,200,200,0.109375,14387.080078125,3001.4
99,RC1_2_4,50,200,200,1.0,14152.05078125,2845.2
100,RC1_2_5,50,200,200,0.0,13724.05859375,3325.6
101,RC1_2_6,50,200,200,0.0,13456.158203125,3300.7
102,RC1_2_7,50,200,200,0.0146484375,13102.318359375,3177.8
103,RC1_2_8,50,200,200,0.2373046875,13079.7978515625,3060.0
104,RC1_2_9,50,200,200,0.39453125,12850.287109375,3073.3
105,RC1_2_10,50,200,200,0.9208984375,12975.87109375,2990.5
106,RC2_2_1,50,1000,200,0.798828125,14476.267578125,2797.4
107,RC2_2_2,50,1000,200,1.0,14652.7509765625,2481.6
108,RC2_2_3,50,1000,200,1.0,14714.7587890625,2227.7
109,RC2_2_4,50,1000,200,1.0,14662.765625,1854.8
110,RC2_2_5,50,1000,200,1.0,14330.2724609375,2491.4
111,RC2_2_6,50,1000,200,1.0,14156.556640625,2495.1
112,RC2_2_7,50,1000,200,1.0,14234.380859375,2287.7
113,RC2_2_8,50,1000,200,1.0,14237.19140625,2151.2
114,RC2_2_9,50,1000,200,1.0,14070.9853515625,2086.6
115,RC2_2_10,50,1000,200,1.0,14109.689453125,1989.2
116,C1_4_1,100,200,400,0.0,45448.11328125,7138.8
117,C1_4_2,100,200,400,0.0,44914.1171875,7113.3
118,C1_4_3,100,200,400,0.015625,44283.4296875,6929.9
119,C1_4_4,100,200,400,1.0,43702.71484375,6777.7
120,C1_4_5,100,200,400,0.0,43296.015625,7138.8
121,C1_4_6,100,200,400,0.0,43869.15234375,7140.1
122,C1_4_7,100,200,400,0.0,42796.0703125,7136.2
123,C1_4_8,100,200,400,0.0,42193.8359375,7083.0
124,C1_4_9,100,200,400,0.71484375,41932.98828125,6927.8
125,C1_4_10,100,200,400,1.0,41974.3515625,6825.4
126,C2_4_1,100,700,400,0.3125,37914.8359375,4100.3
127,C2_4_2,100,700,400,0.998046875,37994.01171875,3914.1
128,C2_4_3,100,700,400,1.0,37484.0078125,3755.2
129,C2_4_4,100,700,400,1.0,36776.5859375,3523.7
130,C2_4_5,100,700,400,1.0,36746.5390625,3923.2
131,C2_4_6,100,700,400,1.0,36433.0390625,3860.1
132,C2_4_7,100,700,400,1.0,36490.1328125,3870.9
133,C2_4_8,100,700,400,1.0,36214.6796875,3773.7
134,C2_4_9,100,700,400,1.0,36315.0078125,3842.1
135,C2_4_10,100,700,400,1.0,36029.3359375,3665.1
136,R1_4_1,100,200,400,0.0,52640.80859375,10305.8
137,R1_4_2,100,200,400,0.0,46770.09765625,8873.2
138,R1_4_3,100,200,400,0.0048828125,41011.44140625,7781.6
139,R1_4_4,100,200,400,1.0,38433.31640625,7266.2
140,R1_4_5,100,200,400,0.0,46412.3125,9184.6
141,R1_4_6,100,200,400,0.0,42838.609375,8340.4
142,R1_4_7,100,200,400,0.12890625,38916.2578125,7599.8
143,R1_4_8,100,200,400,1.0,38267.39453125,7240.5
144,R1_4_9,100,200,400,0.0,40365.78515625,8673.8
145,R1_4_10,100,200,400,0.033203125,36493.234375,8077.8
146,R2_4_1,100,1000,400,0.9521484375,40892.484375,7520.7
147,R2_4_2,100,1000,400,1.0,40808.7265625,6482.8
148,R2_4_3,100,1000,400,1.0,40487.46875,5372.9
149,R2_4_4,100,1000,400,1.0,39926.6640625,4211.2
150,R2_4_5,100,1000,400,1.0,39944.7734375,6567.9
151,R2_4_6,100,1000,400,1.0,40189.37109375,5813.5
152,R2_4_7,100,1000,400,1.0,40109.5390625,4893.5
153,R2_4_8,100,1000,400,1.0,39796.2109375,4000.1
154,R2_4_9,100,1000,400,1.0,40045.375,6067.8
155,R2_4_10,100,1000,400,1.0,39767.5703125,5638.1
156,RC1_4_1,100,200,400,0.0,48523.171875,8522.9
157,RC1_4_2,100,200,400,0.0,44356.53125,7878.2
158,RC1_4_3,100,200,400,0.0078125,40206.95703125,7516.9
159,RC1_4_4,100,200,400,1.0,39081.08203125,7292.9
160,RC1_4_5,100,200,400,0.0,39668.9140625,8152.3
161,RC1_4_6,100,200,400,0.0,38040.3984375,8148.0
